"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004052177","00550300","業種別季節調整済指数【月次】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052178","00550300","業種別季節調整済指数【月次】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052179","00550300","業種別季節調整済指数【月次】 在庫（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052180","00550300","業種別季節調整済指数【月次】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052181","00550300","業種別原指数【月次】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052182","00550300","業種別原指数【月次】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052183","00550300","業種別原指数【月次】 在庫（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052184","00550300","業種別原指数【月次】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052185","00550300","財別季節調整済指数【月次】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052186","00550300","財別季節調整済指数【月次】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052187","00550300","財別季節調整済指数【月次】 在庫（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052188","00550300","財別季節調整済指数【月次】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052189","00550300","財別原指数【月次】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052190","00550300","財別原指数【月次】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052191","00550300","財別原指数【月次】 在庫（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052192","00550300","財別原指数【月次】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052193","00550300","品目別季節調整済指数【月次】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052194","00550300","品目別季節調整済指数【月次】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052195","00550300","品目別季節調整済指数【月次】 在庫（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052196","00550300","品目別季節調整済指数【月次】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052197","00550300","品目別原指数【月次】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052198","00550300","品目別原指数【月次】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052199","00550300","品目別原指数【月次】 在庫（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052200","00550300","品目別原指数【月次】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052201","00550300","業種別季節調整済指数【四半期】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052202","00550300","業種別季節調整済指数【四半期】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052203","00550300","業種別季節調整済指数【四半期】 在庫（期末）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052204","00550300","業種別季節調整済指数【四半期】 在庫（平均）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052205","00550300","業種別季節調整済指数【四半期】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052206","00550300","業種別原指数【年・年度・四半期】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052207","00550300","業種別原指数【年・年度・四半期】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052208","00550300","業種別原指数【年・年度・四半期】 在庫（期末）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052209","00550300","業種別原指数【年・年度・四半期】 在庫（平均）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052210","00550300","業種別原指数【年・年度・四半期】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052211","00550300","財別季節調整済指数【四半期】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052212","00550300","財別季節調整済指数【四半期】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052213","00550300","財別季節調整済指数【四半期】 在庫（期末）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052214","00550300","財別季節調整済指数【四半期】 在庫（平均）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052215","00550300","財別季節調整済指数【四半期】 在庫率（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052216","00550300","財別原指数【年・年度・四半期】 付加価値額生産（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052217","00550300","財別原指数【年・年度・四半期】 出荷（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052218","00550300","財別原指数【年・年度・四半期】 在庫（期末）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
"0004052219","00550300","財別原指数【年・年度・四半期】 在庫（平均）（2020＝100.0）","鉱工業生産・出荷・在庫指数","2020年基準時系列データ（2018年１月～）","-",,"2026-06-03"
